company,yearsAgree,confidence,yearFounded,yearFounded2,link1,link2
Wazirx,1.0,1.0,2018.0,2018.0,https://www.google.com/search?q=wazirx+founded&oq=wazirx+founded&aqs=chrome..69i57.9364j1j4&sourceid=chrome&ie=UTF-8,https://www.investfeed.com/article/76124/wazirx-bitcoin-exchange-india-wrx-nischal-shetty-crowdire-founder/
Waves-Dex,1.0,1.0,2016.0,2016.0,https://wavesplatform.com/company,https://www.coindesk.com/waves-crypto-exchange-bitcoin
Trade-Io,1.0,1.0,2017.0,2017.0,https://www.crunchbase.com/organization/trade-io,https://www.linkedin.com/company/trade-io/
Topbtc,1.0,1.0,2016.0,2016.0,https://en.bitcoinwiki.org/wiki/Exchange_TOPBTC.COM,https://en.bitcoinwiki.org/wiki/Exchange_TOPBTC.COM
Tokenomy,1.0,1.0,2018.0,2018.0,https://www.linkedin.com/company/tokenomy/,https://icorating.com/ico/tokenomy/
Token-Store,1.0,1.0,2017.0,2017.0,https://bitcoinist.com/icobox-token-store-launches-with-two-exclusive-ico-discounts/,https://bitcointalk.org/index.php?topic=2186186.0
Tidex,1.0,1.0,2017.0,2017.0,https://blockonomi.com/tidex-review/,https://www.fxempire.com/crypto/exchange/tidex/review
Switcheo,1.0,1.0,2017.0,2017.0,https://www.crunchbase.com/organization/switcheo-network,https://www.linkedin.com/company/switcheonetwork/
Stronghold,1.0,1.0,2017.0,2017.0,https://www.linkedin.com/company/strongholdxchg/,https://www.linkedin.com/company/strongholdxchg/
Rudex,1.0,1.0,2017.0,2017.0,http://affgadgets.com/rudex,https://icorating.com/exchanges/rudex/
Otcbtc,1.0,1.0,2017.0,2017.0,https://otcbtc.com/uploads/v3.0-en.pdf,https://www.crunchbase.com/organization/otcbtc#section-overview
Novaexchange,1.0,1.0,2016.0,2016.0,https://www.google.com/search?ei=4bMqXN7mBZKyggeE55LQBA&q=nova+exchange+founded&oq=nova+exchange+founded&gs_l=psy-ab.3...2017.9761..10887...0.0..0.251.905.6j1j1......0....1..gws-wiz.......0j0i71j0i67j0i22i30j0i22i10i30j33i160.64P7Rv9B7_c,https://www.whois.com/whois/novaexchange.com
Neraexpro,1.0,1.0,2017.0,2017.0,https://www.coingecko.com/en/exchanges/neraex,https://www.coingecko.com/en/exchanges/neraex
Mbaex,1.0,1.0,2016.0,2016.0,https://www.linkedin.com/company/mbaex-online-pte-ltd/,https://www.linkedin.com/company/mbaex-online-pte-ltd/
Localtrade,1.0,1.0,2018.0,2018.0,https://suite.endole.co.uk/insight/company/11639812-localtrade-group-ltd,http://whois.domaintools.com/localtrade.cc
Liquid,1.0,1.0,2014.0,2014.0,https://www.liquid.com/company/,https://www.liquid.com/company/
Korbit,1.0,1.0,2013.0,2013.0,https://www.crunchbase.com/organization/korbit#section-overview,https://www.linkedin.com/company/korbit-inc/
Koinim,1.0,1.0,2013.0,2013.0,https://koinim.com/,https://www.ventureradar.com/organisation/Koinim/c691fde0-3862-4af6-a832-1bc5b14235ce
Itbit,1.0,1.0,2012.0,2012.0,https://www.itbit.com/about-itbit,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=250364861
Instant-Bitex,1.0,1.0,2018.0,2018.0,https://instantbitex.com/aboutus,https://bitcoinexchangeguide.com/instant-bitex/
Infinitycoin-Exchange,1.0,1.0,2017.0,2017.0,https://web.infinity-economics.org/what-is-infinity-economics/,https://infinitycoin.exchange/about
Idcm,1.0,1.0,2017.0,2017.0,https://neironix.io/exchanges/idcm,https://www.idcm.io/about
Hotbit,1.0,1.0,2017.0,2017.0,https://www.linkedin.com/company/hotbit-infotech-pvt-ltd/,https://bitcoinexchangeguide.com/hotbit/
Hitbtc,1.0,1.0,2013.0,2013.0,https://en.bitcoin.it/wiki/HitBTC,https://www.crunchbase.com/organization/hitbtc
Guldentrader,1.0,1.0,2016.0,2016.0,https://www.google.com/search?ei=7WkqXPayOtOs0PEPtNaS2Aw&q=guldentrader+company+profile&oq=guldentrader+company+profile&gs_l=psy-ab.12..33i160.22321.35280..38213...1.0..0.107.1488.18j1....3..0....1..gws-wiz.......0i71j33i299.SpmSOVig-Ao,https://www.linkedin.com/company/guldentrader.com/
Dobitrade,1.0,1.0,2016.0,2016.0,https://www.linkedin.com/company/dobitrade-exchange/about/,https://www.linkedin.com/company/dobitrade-exchange/
Cryptonex,1.0,1.0,2017.0,2017.0,https://www.linkedin.com/company/cryptonex/,https://cryptonex.org/
Cryptology,1.0,1.0,2017.0,2017.0,https://www.linkedin.com/company/cryptologyexchange/,https://www.linkedin.com/company/cryptologyexchange/
Cointiger,1.0,1.0,2017.0,2017.0,https://www.cointiger.com/en-us/#/index,https://support.cointiger.one/hc/en-us/articles/360010817533-CoinTiger-Equity-Granted-to-TigerCash-TCH-Holders
Coinrail,1.0,1.0,2017.0,2017.0,https://blog.enjincoin.io/coinspot-qryptos-cobinhood-and-coinrail-list-enjin-coin-9ff9f9a7e52e,https://blog.enjincoin.io/coinspot-qryptos-cobinhood-and-coinrail-list-enjin-coin-9ff9f9a7e52e
Coincorner,1.0,1.0,2014.0,2014.0,https://www.crunchbase.com/organization/coincorner,https://coinmarketcap.com/rankings/exchanges/2
Coinbe,1.0,1.0,2017.0,2017.0,https://coinbe.net/,https://coinbe.net/
Coinall,1.0,1.0,2014.0,2014.0,https://www.coinall.com/,https://www.coingecko.com/en/exchanges/coinall
C-Cex,1.0,1.0,2014.0,2014.0,https://coinclarity.com/exchange/c-cex/,https://twitter.com/CryptoCurrEncyX?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Eprofile%3ACryptoCurrEncyX%7Ctwgr%5E363937393b70726f64756374696f6e&ref_url=https%3A%2F%2Fc-cex.com%2F
Bitso,1.0,1.0,2014.0,2014.0,https://www.linkedin.com/company/bitso-sapi-de-cv/,https://www.crunchbase.com/organization/bitso#section-overview
Bitlish,1.0,1.0,2015.0,2015.0,https://www.linkedin.com/company/bitlish/,https://en.bitcoin.it/wiki/Bitlish
Bitibu,1.0,1.0,2018.0,2018.0,https://www.coingecko.com/en/exchanges/bitibu,https://www.coingecko.com/en/exchanges/bitibu
Bitebtc,1.0,1.0,2017.0,2017.0,https://www.crunchbase.com/organization/bitebtc,https://www.crunchbase.com/organization/bitebtc
Bcex,1.0,1.0,2017.0,2017.0,https://www.crocosource.com/exchanges/bcex/,https://www.crocosource.com/exchanges/bcex/
Abcc,1.0,1.0,2018.0,2018.0,https://www.cryptoninjas.net/2018/09/07/abcc-cryptocurrency-exchange-overview/,https://coingape.com/abcc-exchange-review/
Zb-Com,1.0,0.0,2017.0,2017.0,http://crypto.marketswiki.com/index.php?title=ZB.com,https://www.fxempire.com/crypto/exchange/zb/review
Triple-Dice-Exchange,1.0,0.0,2013.0,2013.0,https://twitter.com/t_d_exchange?lang=en,https://twitter.com/t_d_exchange_jp?lang=en
Rfinex,1.0,0.0,2018.0,2018.0,https://twitter.com/rfinex_exchange?lang=en,https://rfinex.zendesk.com/hc/en-us/articles/360011221331-Rfinex-Starts-Trading-TBA-Announcement
Latoken,1.0,0.0,2017.0,2017.0,https://en.m.bitcoinwiki.org/wiki/LAToken,https://www.crunchbase.com/organization/latoken#section-funding-rounds
Heat-Wallet,1.0,0.0,2016.0,2016.0,http://heatledger.net/index.php?topic=2.0,https://bitcoinist.com/blockchain-heat-ledger-project/
Graviex,1.0,0.0,2017.0,2017.0,https://bitcointalk.org/index.php?topic=2352780.0,https://www.cryptocompare.com/exchanges/graviex/overview
Allcoin,1.0,0.0,2013.0,2013.0,https://www.abitgreedy.com/allcoin/,https://coinpedia.org/exchange/allcoin/
Zebpay,0.0,2.0,-2.0,2014.0,Review the cryptocurrency exchange company listed on the website and find out when it was founded. Provide a link of where you found the information.,
Therocktrading,0.0,2.0,2007.0,2010.0,https://www.therocktrading.com/news/463,https://www.therocktrading.com/
Sistemkoin,0.0,2.0,2017.0,2009.0,https://www.coingecko.com/en/exchanges/sistemkoin,https://sistemkoin.com/#/overview
Ripplefox,0.0,2.0,0.0,2014.0,,https://ripplefox.com/
Rightbtc,0.0,2.0,2014.0,2016.0,https://cryptowiki.com/RightBTC,https://www.linkedin.com/company/rightbtc/
P2Pb2B,0.0,2.0,2014.0,2016.0,https://p2pb2b.io/,https://suite.endole.co.uk/insight/company/10208220-p2pb2b-limited
Ooobtc,0.0,2.0,2017.0,2018.0,https://neironix.io/exchanges/ooobtc,https://0oobtc.com.cutestat.com/
Oex,0.0,2.0,2017.0,2013.0,https://www.linkedin.com/company/oex-international-pte-ltd/,https://www.oex.com/
Nanex,0.0,2.0,0.0,2000.0,,https://en.m.wikipedia.org/wiki/Nanex
Lykke-Exchange,0.0,2.0,2015.0,2013.0,https://www.lykke.com/company,https://www.linkedin.com/company/lykke/
Livecoin,0.0,2.0,2013.0,2015.0,http://www.bestbitcoinexchange.net/en/livecoin-net/,https://blockchainindustrygroup.org/the-livecoin-cryptocurrency-exchange-with-ivona-zlatova/
Litebit,0.0,2.0,2011.0,2013.0,https://www.cnbc.com/2017/12/20/litecoin-founder-charlie-lee-sells-his-holdings-in-the-cryptocurrency.html,en.bitcoinwiki.org/wiki/LiteBit
Kuna,0.0,2.0,2009.0,2016.0,https://foundico.com/exchange/kuna-exchange.html,https://coinmarketcap.com/rankings/exchanges/2
Gopax,0.0,2.0,0.0,2017.0,,http://www.koreaherald.com/view.php?ud=20180522000102
Gbx-Digital-Asset-Exchange,0.0,2.0,2018.0,2017.0,https://gbx.gi/token-sales/,https://www.linkedin.com/company/gibraltar-blockchain-exchange/
Fisco,0.0,2.0,1994.0,2016.0,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=170920,https://coinmarketcap.com/rankings/exchanges/3
Ezbtc,0.0,2.0,2011.0,2016.0,https://www.facebook.com/pg/ezbtc/about/,https://www.linkedin.com/company/ezbtc-ca/
Exrates,0.0,2.0,2017.0,2016.0,https://www.coingecko.com/en/exchanges/exrates,https://www.linkedin.com/company/exrates-exchange/
